Assessment Name,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Assessment Length,URL
Automata - SQL (New),Yes,No,S,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor,",30 min,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/
Automata (New),Yes,No,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,",45 min,https://www.shl.com/solutions/products/product-catalog/view/automata-new/
Automata Data Science (New),Yes,No,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Mid-Professional, Professional Individual Contributor,",60 min,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/
Automata Data Science Pro (New),Yes,No,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Professional Individual Contributor, Mid-Professional,",60 min,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/
Automata Front End,Yes,No,S,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,",30 min,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/
Automata Pro (New),Yes,No,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,",60 min,https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/
Automata Selenium,Yes,No,S,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",60 min,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/
Automation Anywhere RPA Development (New),Yes,No,K,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.","Mid-Professional, Professional Individual Contributor,",8 min,https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/
Automotive Engineering (New),Yes,No,K,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.","Graduate, Mid-Professional, Professional Individual Contributor,",13 min,https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/
Basic Biology (New),Yes,No,K,Multi choice test that measures the candidate's basic understanding of Biology.,"Professional Individual Contributor, Graduate, Mid-Professional,",6 min,https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/
Basic Computer Literacy (Windows 10) (New),Yes,No,"S, K","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","Entry-Level,",30 min,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/
Basic Statistics (New),Yes,No,K,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.","Graduate, Mid-Professional, Professional Individual Contributor,",10 min,https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/
Biochemistry (New),Yes,No,K,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.","Graduate, Mid-Professional, Professional Individual Contributor,",8 min,https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/
Biotech Lab Techniques (New),Yes,No,K,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.","Graduate, Professional Individual Contributor, Mid-Professional,",5 min,https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/
BizTalk (New),Yes,No,K,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.","Mid-Professional, Professional Individual Contributor,",16 min,https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/
Business Communication (adaptive),Yes,Yes,K,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",24 min,https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/
Business Communications,Yes,No,K,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",,35 min,https://www.shl.com/solutions/products/product-catalog/view/business-communications/
C Programming (New),Yes,No,K,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.","Mid-Professional, Professional Individual Contributor,",10 min,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/
C# Programming (New),Yes,No,K,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.","Mid-Professional, Professional Individual Contributor,",9 min,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/
C++ Programming (New),Yes,No,K,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,"Mid-Professional, Professional Individual Contributor,",10 min,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/
Cardiology and Diabetes Management (New),Yes,No,K,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","Graduate, Mid-Professional, Professional Individual Contributor,",4 min,https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/
Ceramic Engineering (New),Yes,No,K,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","Graduate, Mid-Professional, Professional Individual Contributor,",12 min,https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/
Chemical Engineering (New),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.","Graduate, Mid-Professional, Professional Individual Contributor,",13 min,https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/
Cisco AppDynamics (New),Yes,No,K,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.","Mid-Professional, Professional Individual Contributor,",9 min,https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/
Civil Engineering (New),Yes,No,K,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",10 min,https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/
Cloud Computing (New),Yes,No,K,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.","Mid-Professional, Professional Individual Contributor,",8 min,https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/
COBOL Programming (New),Yes,No,K,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","Mid-Professional, Professional Individual Contributor,",10 min,https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/
Computer Science (New),Yes,No,K,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","Mid-Professional, Professional Individual Contributor,",12 min,https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/
Contact Center Call Simulation (New),Yes,No,S,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,"Entry-Level,",15 min,https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/
Conversational Multichat Simulation,Yes,No,S,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",,11 min,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/
Core Java (Advanced Level) (New),Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","Mid-Professional, Professional Individual Contributor,",13 min,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/
Core Java (Entry Level) (New),Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","Mid-Professional, Professional Individual Contributor,",13 min,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
Count Out The Money,Yes,Yes,"K, S",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,"Entry-Level,",5 min,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/
CSS3 (New),Yes,No,K,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,"Mid-Professional, Professional Individual Contributor,",8 min,https://www.shl.com/solutions/products/product-catalog/view/css3-new/
Culinary Skills (New),Yes,No,K,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",7 min,https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/
Customer Service Phone Simulation,Yes,No,"B, S","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,",20 min,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/
Customer Service Phone Solution,Yes,No,"B, P, S","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,",30 min,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/
Cyber Risk (New),Yes,No,K,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",9 min,https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/
Data Entry (New),Yes,No,S,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,"Entry-Level,",4 min,https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/
Data Entry Alphanumeric Split Screen - US,Yes,No,K,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.","Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,",5 min,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/
Data Entry Numeric Split Screen - US,Yes,No,K,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.","Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,",5 min,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/
Data Entry Ten Key Split Screen,Yes,No,K,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,",3 min,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/
Data Science (New),Yes,No,K,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.","Mid-Professional, Professional Individual Contributor,",14 min,https://www.shl.com/solutions/products/product-catalog/view/data-science-new/
Data Warehousing Concepts,Yes,Yes,K,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.","Mid-Professional, Professional Individual Contributor,",25 min,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/
Dependability and Safety Instrument (DSI),Yes,No,P,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase","Entry-Level,",10 min,https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/
Dermatology (New),Yes,No,K,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.","Graduate, Mid-Professional, Professional Individual Contributor,",3 min,https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/
Desktop Support (New),Yes,No,K,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.","Graduate, Mid-Professional, Professional Individual Contributor,",8 min,https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/
Digital Advertising (New),Yes,No,K,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",7 min,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/
Digital Readiness Development Report - IC,Yes,No,P,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers).","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/
Digital Readiness Development Report - Manager,Yes,No,P,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (seeDigital Readiness Report - IC).","Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director,",,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/
Docker (New),Yes,No,K,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.","Mid-Professional, Professional Individual Contributor,",10 min,https://www.shl.com/solutions/products/product-catalog/view/docker-new/
Dojo (New),Yes,No,K,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.","Mid-Professional, Professional Individual Contributor,",11 min,https://www.shl.com/solutions/products/product-catalog/view/dojo-new/
Drupal (New),Yes,No,K,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.","Mid-Professional, Professional Individual Contributor,",17 min,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/
DSI v1.1 Interpretation Report,Yes,No,P,DSI v1.1 Interpretation Report,,,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/
Econometrics (New),Yes,No,K,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.","Graduate, Mid-Professional, Professional Individual Contributor,",11 min,https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/
Economics (New),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.","Graduate, Mid-Professional, Professional Individual Contributor,",13 min,https://www.shl.com/solutions/products/product-catalog/view/economics-new/
Electrical and Electronics Engineering (New),Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.","Graduate, Mid-Professional, Professional Individual Contributor,",14 min,https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/
Electrical Engineering (New),Yes,No,K,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.","Graduate, Mid-Professional, Professional Individual Contributor,",8 min,https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/
